DateKey,Date,Fiscal Year,Fiscal Quarter,Month,MonthKey,Full Date
20191014,1571011200000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 14"
20191015,1571097600000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 15"
20191016,1571184000000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 16"
20191017,1571270400000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 17"
20191018,1571356800000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 18"
20191019,1571443200000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 19"
20191020,1571529600000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 20"
20191021,1571616000000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 21"
20191022,1571702400000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 22"
20191023,1571788800000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 23"
20191024,1571875200000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 24"
20191025,1571961600000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 25"
20191026,1572048000000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 26"
20191027,1572134400000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 27"
20191028,1572220800000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 28"
20191029,1572307200000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 29"
20191030,1572393600000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 30"
20191031,1572480000000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 31"
20191101,1572566400000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 01"
20191102,1572652800000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 02"
20191103,1572739200000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 03"
20191104,1572825600000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 04"
20191105,1572912000000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 05"
20191106,1572998400000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 06"
20191107,1573084800000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 07"
20191108,1573171200000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 08"
20191109,1573257600000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 09"
20191110,1573344000000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 10"
20191111,1573430400000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 11"
20191112,1573516800000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 12"
20191113,1573603200000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 13"
20191114,1573689600000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 14"
20191115,1573776000000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 15"
20191116,1573862400000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 16"
20191117,1573948800000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 17"
20191118,1574035200000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 18"
20191119,1574121600000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 19"
20191120,1574208000000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 20"
20191121,1574294400000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 21"
20191122,1574380800000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 22"
20191123,1574467200000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 23"
20191124,1574553600000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 24"
20191125,1574640000000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 25"
20191126,1574726400000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 26"
20191127,1574812800000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 27"
20191128,1574899200000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 28"
20191129,1574985600000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 29"
20191130,1575072000000,FY2020,FY2020 Q2,2019 Nov,201911,"2019 Nov, 30"
20191201,1575158400000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 01"
20191202,1575244800000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 02"
20191203,1575331200000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 03"
20191204,1575417600000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 04"
20191205,1575504000000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 05"
20191206,1575590400000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 06"
20191207,1575676800000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 07"
20191208,1575763200000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 08"
20191209,1575849600000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 09"
20191210,1575936000000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 10"
20191211,1576022400000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 11"
20191212,1576108800000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 12"
20191213,1576195200000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 13"
20191214,1576281600000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 14"
20191215,1576368000000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 15"
20191216,1576454400000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 16"
20191217,1576540800000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 17"
20191218,1576627200000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 18"
20191219,1576713600000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 19"
20191220,1576800000000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 20"
20191221,1576886400000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 21"
20191222,1576972800000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 22"
20191223,1577059200000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 23"
20191224,1577145600000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 24"
20191225,1577232000000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 25"
20191226,1577318400000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 26"
20191227,1577404800000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 27"
20191228,1577491200000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 28"
20191229,1577577600000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 29"
20191230,1577664000000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 30"
20191231,1577750400000,FY2020,FY2020 Q2,2019 Dec,201912,"2019 Dec, 31"
20200101,1577836800000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 01"
20200102,1577923200000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 02"
20200103,1578009600000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 03"
20200104,1578096000000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 04"
20200105,1578182400000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 05"
20200106,1578268800000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 06"
20200107,1578355200000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 07"
20200108,1578441600000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 08"
20200109,1578528000000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 09"
20200110,1578614400000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 10"
20200111,1578700800000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 11"
20200112,1578787200000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 12"
20200113,1578873600000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 13"
20200114,1578960000000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 14"
20200115,1579046400000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 15"
20200116,1579132800000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 16"
20200117,1579219200000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 17"
20200118,1579305600000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 18"
20200119,1579392000000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 19"
20200120,1579478400000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 20"
20200121,1579564800000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 21"
20200122,1579651200000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 22"
20200123,1579737600000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 23"
20200124,1579824000000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 24"
20200125,1579910400000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 25"
20200126,1579996800000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 26"
20200127,1580083200000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 27"
20200128,1580169600000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 28"
20200129,1580256000000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 29"
20200130,1580342400000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 30"
20200131,1580428800000,FY2020,FY2020 Q3,2020 Jan,202001,"2020 Jan, 31"
20200201,1580515200000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 01"
20200202,1580601600000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 02"
20200203,1580688000000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 03"
20200204,1580774400000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 04"
20200205,1580860800000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 05"
20200206,1580947200000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 06"
20200207,1581033600000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 07"
20200208,1581120000000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 08"
20200209,1581206400000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 09"
20200210,1581292800000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 10"
20200211,1581379200000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 11"
20200212,1581465600000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 12"
20200213,1581552000000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 13"
20200214,1581638400000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 14"
20200215,1581724800000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 15"
20200216,1581811200000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 16"
20200217,1581897600000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 17"
20200218,1581984000000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 18"
20200219,1582070400000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 19"
20200220,1582156800000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 20"
20200221,1582243200000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 21"
20200222,1582329600000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 22"
20200223,1582416000000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 23"
20200224,1582502400000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 24"
20200225,1582588800000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 25"
20200226,1582675200000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 26"
20200227,1582761600000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 27"
20200228,1582848000000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 28"
20200229,1582934400000,FY2020,FY2020 Q3,2020 Feb,202002,"2020 Feb, 29"
20200301,1583020800000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 01"
20200302,1583107200000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 02"
20200303,1583193600000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 03"
20200304,1583280000000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 04"
20200305,1583366400000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 05"
20200306,1583452800000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 06"
20200307,1583539200000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 07"
20200308,1583625600000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 08"
20200309,1583712000000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 09"
20200310,1583798400000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 10"
20200311,1583884800000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 11"
20200312,1583971200000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 12"
20200313,1584057600000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 13"
20200314,1584144000000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 14"
20200315,1584230400000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 15"
20200316,1584316800000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 16"
20200317,1584403200000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 17"
20200318,1584489600000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 18"
20200319,1584576000000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 19"
20200320,1584662400000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 20"
20200321,1584748800000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 21"
20200322,1584835200000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 22"
20200323,1584921600000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 23"
20200324,1585008000000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 24"
20200325,1585094400000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 25"
20200326,1585180800000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 26"
20200327,1585267200000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 27"
20200328,1585353600000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 28"
20200329,1585440000000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 29"
20200330,1585526400000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 30"
20200331,1585612800000,FY2020,FY2020 Q3,2020 Mar,202003,"2020 Mar, 31"
20200401,1585699200000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 01"
20200402,1585785600000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 02"
20200403,1585872000000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 03"
20200404,1585958400000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 04"
20200405,1586044800000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 05"
20200406,1586131200000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 06"
20200407,1586217600000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 07"
20200408,1586304000000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 08"
20200409,1586390400000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 09"
20200410,1586476800000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 10"
20200411,1586563200000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 11"
20200412,1586649600000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 12"
20200413,1586736000000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 13"
20200414,1586822400000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 14"
20200415,1586908800000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 15"
20200416,1586995200000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 16"
20200417,1587081600000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 17"
20200418,1587168000000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 18"
20200419,1587254400000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 19"
20200420,1587340800000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 20"
20200421,1587427200000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 21"
20200422,1587513600000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 22"
20200423,1587600000000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 23"
20200424,1587686400000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 24"
20200425,1587772800000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 25"
20200426,1587859200000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 26"
20200427,1587945600000,FY2020,FY2020 Q4,2020 Apr,202004,"2020 Apr, 27"
